Party Name,Lattitude,Longitutde
1438 ADHWAN MOHAMMED AL-AHMARI TRADING ESTABLISHMENT,26.2782933,50.1914941
1424_AL Afaq Al Mudiya Trading Establishment,26.4370821,50.1022989
1476 Ahmed Abdulrab Al-Zaher Trading Establishment,26.2787242,50.1914554
1522 Al Aemeda Almasea,24.5683111,46.74069
1302 AL El HADAF El SHARQI TRADING,24.5935418,46.7506503
1514 Al Riyal Al Zahabi Trading Establishment,24.604854,46.7553227
1510 Al Waheh Al Mukhaffada Trading Establishment,24.5683373,46.7409529
1418 Al-Hassani Top Up Trading Company,24.5980333,46.7442783
1468_BAHR Al-Takhfid Trading Company,24.16439,47.317755
1501 Alam Al Asaar Trading Company,26.4548138,50.1257865
1462 Alnazafuh Almukhtasuh Establishment for Trade,24.5614618,46.7534719
1443 Amal Al- Hikmah Establishment,24.5711,46.7398833
1521 ARROW CROSS TRADING EST.,26.2810035,50.2031779
1430 Arzaq Al Madina Trading Company,26.4403793,50.1148883
1466 Azhar Al Basim Trading Company,24.8209967,46.7908267
1468 Bahr Al-Takhfid Trading Company,24.16439,47.317755
1426 BASMAT AL SHAREEK TRADING COMPANY,26.2780902,50.1914499
1503 Bayt Al Asaar Al Shamel Company,24.5912635,46.7118804
1483 CAPITAL INTELLIGENT FOR COMMUNICATIONS & INFORMATION TECHNOLIGY,26.2849199,50.213096
Cash Sales,24.6416181,46.7263044
1444 company meem 360,24.5841564,46.616946
1434 COMPUTER SERVICES TRADING EST,26.2810743,50.2044806
1469 Development Needs Company Limited,24.6758392,46.728914
1458 FARAJ MOHAMMED MUFREH AL-SUBAIE FOOD STUFF WAREHOUSES COMPANY,24.5996617,46.7086533
1515 GHAZWEEN TRADING,26.4403195,50.1033507
1479 Gulf Stream Trading Establishment,26.4370826,50.1022425
1454 Hamsat Al-Asima Trading Company,24.5697583,46.751055
1495 INK PATH TRADING EST,26.4366925,50.1022565
1513 Jabal nun Company For,24.5682329,46.7408959
1465 Jassim Bin Abdulwahab Bin Jassim Al Hamoud Foundation,26.4399567,50.1033769
1441 Jazeerat Al-Tawfeer,24.1312833,47.2714497
1453 JINAN AL NAKHIL TRADING,24.5630307,46.7463218
1504 Joud al Tawfeer Trading Co,26.4523165,50.0690906
1511 Khalid Mansour Al-Judaie Establishment,24.5682359,46.7409008
1470 Last Trading Establishment for Commercial Services,26.4368087,50.1020292
1459 MANA TRADING COMPANY,26.2781269,50.1915126
1440 Mazaya paper Accessories Company,24.594625,46.7527227
1464 Najran Eyes Trading Company,26.4400134,50.1034724
1507 Noon Top Trading Company,26.5073578,50.0354404
1477 PC CORNER ESTABLISHMENT,24.6808322,46.6911788
1432 Rawad Al-Hasib Trading Company,26.2810586,50.2043044
1498 Sajida Ali Saad Foundation,24.5682183,46.74069
1517 SARA STAR khobar,26.2902809,50.1952189
1525 Sharakuh Muhit Altakhfid,24.56828,46.7410285
1520 South Candle Trading Est,26.4384087,50.1023295
1480 Sultan Salem Ahmed Al-Shehri Accessories Establishment,24.6336025,46.709945
1509 Tani al asaar,24.5993249,46.7268083
1496 Wadi Al-Hateem Trading Est,24.5683851,46.7406709
1499 wahet al tawfir trading,24.568275,46.7407267
1493 Wasa'il Al-Barakah Trading Company,24.5855549,46.7563954
Zahrat Ghubaira Trading Establishment,24.618165,46.6975083
1455 Zawya Jawharat Al Asaar Trading Company.,26.4452867,50.062495
1416 Zuhour Al Madina Trading Company,24.548364599999999,46.787078800000003
